Name|Type|ID|Price|Weight
Tom Sawyer|Book|232345|12.99|0.80000000000000004
Catcher In The Rye|Book|333498|14.949999999999999|1.3999999999999999
The Thousand Orcs|Book|897687|21.949999999999999|1.3
Night Masks|Book|986324|6.9900000000000002|0.59999999999999998
Mer De Noms|CD|29655|14.99|0.69999999999999996
Hybrid Theory|CD|46512|12.949999999999999|0.59999999999999998
The Lonely Position Of Neutral|CD|86876|13.99|0.59999999999999998
Wonder What's Next|CD|89735|12.949999999999999|0.69999999999999996
Pioneer CD-rx134|CD Player|245|99.989999999999995|25.399999999999999
Sony CD-mx1417|CD Player|1454|59.990000000000002|15
Memorex 25 ct.|CD-R|3425|14.99|3.7000000000000002
Memorex 50 ct.|CD-R|3450|21.989999999999998|5.2000000000000002
Shanghai Noon|DVD|435|21.949999999999999|0.75
Tomb Raider|DVD|23456|21.949999999999999|0.75
Swordfish|DVD|92870|23.949999999999999|0.75
Panasonic DVD-m35|DVD Player|2523|129.99000000000001|17.300000000000001
Toshiba DVD-z987|DVD Player|8977|149.99000000000001|16.699999999999999
17" CTL CRT|Monitor|435|150.99000000000001|24.600000000000001
19" Sony Flatscreen|Monitor|1234|799.95000000000005|8.3000000000000007
21" Dell Flatscreen|Monitor|9785|1299.99|10.6
Diablo 2|Video Game|1234|34.990000000000002|2.3999999999999999
Half-Life Platinum ed.|Video Game|5698|44.990000000000002|4.7999999999999998
Neverwinter Nights|Video Game|9349|39.990000000000002|2.2000000000000002
